phrase;adjective;nonun;note_to_phrase;adjective_definition;noun_definition
algebraic brevity;algebraic;brevity;;;
alien splendor;alien;splendor;;;
alleged reluctance;alleged;reluctance;;;
allegorical vein;allegorical;vein;;;
allied subjects;allied;subjects;;;
alliterative suggestion;alliterative;suggestion;;;
all-pervading influence;all-pervading;influence;;;
alluring idleness;alluring;idleness;;;
alternating opinion;alternating;opinion;;;
altogether dissimilar;altogether;dissimilar;;;
altruistic ideal;altruistic;ideal;;;
amatory effusions;amatory;effusions;;expressive of sexual love;
amazing artifice;amazing;artifice;;;
ambidextrous assistant;ambidextrous;assistant;;;
ambiguous grimace;ambiguous;grimace;;;
ambitious project;ambitious;project;;;
ambling pedestrian;ambling;pedestrian;;;
ambrosial essence;ambrosial;essence;;"fragrant or delicious; worthy of the gods; divine.";
amiable solicitude;amiable;solicitude;;;
amicable arrangement;amicable;arrangement;;;
amorous youth;amorous;youth;;;
ample culture;ample;culture;;;
amusing artlessness;amusing;artlessness;;;
analogous example;analogous;example;;;
analytical survey;analytical;survey;;;
ancestral creed;ancestral;creed;;;
ancient garb;ancient;garb;;;
angelic softness;angelic;softness;;;
angry protestations;angry;protestations;;;
anguished entreaty;anguished;entreaty;;;
angular features;angular;features;;;
animated eloquence;animated;eloquence;;;
annoying complications;annoying;complications;;;
anomalous appearance;anomalous;appearance;;;
anonymous benefactor;anonymous;benefactor;;;
answering response;answering;response;;;
antagonistic views;antagonistic;views;;;
antecedent facts;antecedent;facts;;;
anticipated attention;anticipated;attention;;;
antiquated prudery;antiquated;prudery;;;
anxious misgiving;anxious;misgiving;;;
apathetic greeting;apathetic;greeting;;;
aphoristic wit;aphoristic;wit;;Tersely phrased statement;
apish agility;apish;agility;;;
apocalyptic vision;apocalyptic;vision;;;
apocryphal lodger;apocryphal;lodger;;questionable authenticity;
apologetic explanation;apologetic;explanation;;;
apostrophic dignity;apostrophic;dignity;;;
appalling difficulties;appalling;difficulties;;;
apparent significance;apparent;significance;;;
appealing picture;appealing;picture;;;
appointed function;appointed;function;;;
apposite illustration;apposite;illustration;;;
appreciable relief;appreciable;relief;;;
appreciative fervor;appreciative;fervor;;;
apprehensive dread;apprehensive;dread;;;
apprentice touch;apprentice;touch;;;
appropriate designation;appropriate;designation;;;
approving smile;approving;smile;;;
approximately correct;approximately;correct;;;
aptly suggested;aptly;suggested;;;
arbitrarily imposed;arbitrarily;imposed;;;
arch conspirator;arch;conspirator;;;
arched embrasure;arched;embrasure;;;flared opening for a gun in a wall or parapet
archeological pursuits;archeological;pursuits;;;
architectural grandeur;architectural;grandeur;;;
ardent protest;ardent;protest;;;
arduous quest;arduous;quest;;;
arid formula;arid;formula;;;
aristocratic lineage;aristocratic;lineage;;;
aromatic fragrance;aromatic;fragrance;;;
arrant trifling;arrant;trifling;;;
arrested development;arrested;development;;;
arrogant imposition;arrogant;imposition;;;
artful adaptation;artful;adaptation;;;
artificial suavity;artificial;suavity;;;
artistic elegance;artistic;elegance;;;
artless candor;artless;candor;;;
ascending supremacy;ascending;supremacy;;;
ascetic devotion;ascetic;devotion;;;
ascribed productiveness;ascribed;productiveness;;;
aspiring genius;aspiring;genius;;;
assembled arguments;assembled;arguments;;;
asserted activity;asserted;activity;;;
assiduously cultivated;assiduously;cultivated;;;
assimilative power;assimilative;power;;;
assumed humiliation;assumed;humiliation;;;
assuredly enshrined;assuredly;enshrined;;;
astonishing facility;astonishing;facility;;;
astounding mistakes;astounding;mistakes;;;
astute observer;astute;observer;;;
athletic prowess;athletic;prowess;;;
atmospheric vagueness;atmospheric;vagueness;;;
atoning sacrifice;atoning;sacrifice;;;
atrocious expression;atrocious;expression;;;
atrophied view;atrophied;view;;;
attending circumstances;attending;circumstances;;;
attentive deference;attentive;deference;;;
attenuated sound;attenuated;sound;;;
attested loyalty;attested;loyalty;;;
attractive exordium;attractive;exordium;;;introduction of a speech or treatise
audacious mendicant;audacious;mendicant;;;"depending on alms; beggar"
audible intimations;audible;intimations;;;
augmented force;augmented;force;;;
august tribunal;august;tribunal;;;
auspicious moment;auspicious;moment;;;
austere charm;austere;charm;;;
authentic indications;authentic;indications;;;
authoritative critic;authoritative;critic;;;
autobiographical pages;autobiographical;pages;;;
autocratic power;autocratic;power;;;
automatic termination;automatic;termination;;;
autumnal skies;autumnal;skies;;;
auxiliary aids;auxiliary;aids;;;
available data;available;data;;;
avaricious eyes;avaricious;eyes;;;
avenging fate;avenging;fate;;;
average excellence;average;excellence;;;
averted calamity;averted;calamity;;;
avowed intention;avowed;intention;;;
awakened curiosity;awakened;curiosity;;;
awed devotion;awed;devotion;;;
awful dejection;awful;dejection;;;
awkward dilemma;awkward;dilemma;;;
axiomatic truth;axiomatic;truth;;;
azure sky;azure;sky;;;
babbling gossip;babbling;gossip;;;
bacchanalian desires;bacchanalian;desires;;;
bachelor freedom;bachelor;freedom;;;
bad omen;bad;omen;;;
baffled sagacity;baffled;sagacity;;;"farsighted; wise"
balanced capacity;balanced;capacity;;;
baldly described;baldly;described;;;
baleful glances;baleful;glances;;;
balmy fragrance;balmy;fragrance;;;
bandying talk;bandying;talk;;;
baneful impression;baneful;impression;;;
banished silence;banished;silence;;;
barbarous statecraft;barbarous;statecraft;;;
barefaced appeal;barefaced;appeal;;;
barest commonplaces;barest;commonplaces;;;
barren opportunities;barren;opportunities;;;
base intrigues;base;intrigues;;;
baseless assumptions;baseless;assumptions;;;
bashful modesty;bashful;modesty;;;
basic principles;basic;principles;;;
battered witticism;battered;witticism;;;
beaming countenance;beaming;countenance;;;
bearish rudeness;bearish;rudeness;;;
beatific vision;beatific;vision;;;
beautiful modesty;beautiful;modesty;;;
beckoning horizon;beckoning;horizon;;;
becoming diffidence;becoming;diffidence;;;
bedraggled wretch;bedraggled;wretch;;;
befitting honor;befitting;honor;;;
beggarly flimsiness;beggarly;flimsiness;;;
beguiling voice;beguiling;voice;;;
belated acknowledgment;belated;acknowledgment;;;
belittling fears;belittling;fears;;;
bellicose humanity;bellicose;humanity;;;
beneficent career;beneficent;career;;;
benevolent regard;benevolent;regard;;;
benighted sense;benighted;sense;;;
benignant pity;benignant;pity;;"favorable; beneficial; kind";
beseeching gesture;beseeching;gesture;;;
besetting heresy;besetting;heresy;;;
besotted fanaticism;besotted;fanaticism;;;
bestial ferocity;bestial;ferocity;;;
bewildering maze;bewildering;maze;;;
bewitching airs;bewitching;airs;;;
beyond peradventure;beyond;peradventure;;;perhaps
bibulous diversions;bibulous;diversions;;consumes alcoholic drink;
bigoted contempt;bigoted;contempt;;;
binding obligation;binding;obligation;;;
bitter recrimination;bitter;recrimination;;;
bizarre apparel;bizarre;apparel;;;
blackening west;blackening;west;;;
blameless indolence;blameless;indolence;;;
blanched desolation;blanched;desolation;;;
bland confidence;bland;confidence;;;
blank misgivings;blank;misgivings;;;
blasphemous hypocrisy;blasphemous;hypocrisy;;;
blatant discourse;blatant;discourse;;;
blazing audacity;blazing;audacity;;;
blazoned shield;blazoned;shield;;;
bleak loneliness;bleak;loneliness;;;
blended impression;blended;impression;;;
blessed condolence;blessed;condolence;;;
blighted happiness;blighted;happiness;;;
blind partizan;blind;partizan;;;
blissful consciousness;blissful;consciousness;;;
blistering satire;blistering;satire;;;
blithe disregard;blithe;disregard;;;
bloated equivalent;bloated;equivalent;;;
bloodless creature;bloodless;creature;;;
bloodthirsty malice;bloodthirsty;malice;;;
blundering discourtesy;blundering;discourtesy;;;
blunt rusticity;blunt;rusticity;;;"rustic; awkward or tactless"
blurred vision;blurred;vision;;;
blustering assertion;blustering;assertion;;;
boastful positiveness;boastful;positiveness;;;
bodily activity;bodily;activity;;;
boisterous edification;boisterous;edification;;;
bold generalization;bold;generalization;;;
bombastic prating;bombastic;prating;;;idle talk
bookish precision;bookish;precision;;;
boon companion;boon;companion;;;
boorish abuse;boorish;abuse;;;
bored demeanor;bored;demeanor;;;
borrowed grace;borrowed;grace;;;
bottomless abyss;bottomless;abyss;;;
boundless admiration;boundless;admiration;;;
bountiful supply;bountiful;supply;;;
boyish appreciation;boyish;appreciation;;;
braggart pretense;braggart;pretense;;;
bravely vanquished;bravely;vanquished;;;
braying trumpet;braying;trumpet;;;
brazen importunity;brazen;importunity;;;insistent request
breathless eagerness;breathless;eagerness;;;
brief tenure;brief;tenure;;;
briefless barrister;briefless;barrister;;;
bright interlude;bright;interlude;;;
brilliant embodiment;brilliant;embodiment;;;
brisk energy;brisk;energy;;;
bristling temper;bristling;temper;;;
brittle sarcasm;brittle;sarcasm;;;
broadening fame;broadening;fame;;;
broken murmurs;broken;murmurs;;;
brooding peace;brooding;peace;;;
brutal composure;brutal;composure;;;
bubbling frivolities;bubbling;frivolities;;;
bucolic cudgeling;bucolic;cudgeling;;"about shepherds or flocks; pastoral";
budding joy;budding;joy;;;
bulky figure;bulky;figure;;;
buoyant pluck;buoyant;pluck;;;
burdensome business;burdensome;business;;;
burly strength;burly;strength;;;
burning zeal;burning;zeal;;;
bursting laugh;bursting;laugh;;;
busily engrossed;busily;engrossed;;;
business acumen;business;acumen;;;
bygone period;bygone;period;;;
cabalistic phrase;cabalistic;phrase;;secret or hidden meaning;
cadaverous appearance;cadaverous;appearance;;;
calamitous course;calamitous;course;;;
calculating admiration;calculating;admiration;;;
callous indifference;callous;indifference;;;
calm resignation;calm;resignation;;;
calumnious suspicions;calumnious;suspicions;;"harmful and often untrue; discredit";
cantankerous enemy;cantankerous;enemy;;;
canting hypocrite;canting;hypocrite;;"monotonous platitudes; hypocritically pious";
capacious mind;capacious;mind;;;
capricious allurements;capricious;allurements;;;
captivating speech;captivating;speech;;;
cardinal merit;cardinal;merit;;;
careless parrying;careless;parrying;;;
caressing grasp;caressing;grasp;;;
carping critic;carping;critic;;;
castellated towers;castellated;towers;;with turrets and battlements like a castle;
casual violation;casual;violation;;;
cataclysmic elements;cataclysmic;elements;;;
causelessly frightened;causelessly;frightened;;;
caustic remark;caustic;remark;;;
cautious skepticism;cautious;skepticism;;;
cavernous gloom;cavernous;gloom;;;
ceaseless vigilance;ceaseless;vigilance;;;
celebrated instance;celebrated;instance;;;
celestial joy;celestial;joy;;;
censorious critic;censorious;critic;;;
centralized wealth;centralized;wealth;;;
ceremonious courtesy;ceremonious;courtesy;;;
cerulean blue;cerulean;blue;;"azure; sky-blue";
challenge admiration;challenge;admiration;;;
chance reflections;chance;reflections;;;
changing exigencies;changing;exigencies;;;pressing or urgent situation
chaotic plans;chaotic;plans;;;
characteristic audacity;characteristic;audacity;;;
charitable allowance;charitable;allowance;;;
charming radiance;charming;radiance;;;
chary instincts;chary;instincts;;"cautious; wary";
chastened hope;chastened;hope;;;
chatty familiarity;chatty;familiarity;;;
cheap resentment;cheap;resentment;;;
cheery response;cheery;response;;;
chequered career;chequered;career;;;
cherished objects;cherished;objects;;;
childlike ingenuousness;childlike;ingenuousness;;"ingenuous = frank; candid.";
chilled cynicism;chilled;cynicism;;;
chirpy familiarities;chirpy;familiarities;;;
chivalrous spirit;chivalrous;spirit;;;
choicest refinements;choicest;refinements;;;
choleric temperament;choleric;temperament;;"easily angered; bad-tempered";
choral chant;choral;chant;;;
chronic frailties;chronic;frailties;;;
churlish temper;churlish;temper;;"boorish; vulgar; rude";
circling eddyings;circling;eddyings;;;
circuitous information;circuitous;information;;;
circumscribed purpose;circumscribed;purpose;;;
civic consciousness;civic;consciousness;;;
civilizing influence;civilizing;influence;;;
clammy death;clammy;death;;;
clamorous vibration;clamorous;vibration;;;
clangorous industry;clangorous;industry;;;
clarion tone;clarion;tone;;;
class demarcations;class;demarcations;;;
classical objurgation;classical;objurgation;;;harsh rebuke
clattering accents;clattering;accents;;;
clear insight;clear;insight;;;
climactic revelation;climactic;revelation;;;
clinching proof;clinching;proof;;;
cloaked nature;cloaked;nature;;;
cloistered virtue;cloistered;virtue;;;
close condensation;close;condensation;;;
cloudy magnificence;cloudy;magnificence;;;
clownishly insensible;clownishly;insensible;;;
cloying sweetness;cloying;sweetness;;too filling, rich, or sweet;
clumsy talk;clumsy;talk;;;
clustering trees;clustering;trees;;;
coarse necessity;coarse;necessity;;;
coaxing eloquence;coaxing;eloquence;;;
coercive enactment;coercive;enactment;;;
cogent statement;cogent;statement;;;
coherent thinking;coherent;thinking;;;
coined metaphor;coined;metaphor;;;
cold formalities;cold;formalities;;;
collateral duties;collateral;duties;;;
collective wisdom;collective;wisdom;;;
colloquial display;colloquial;display;;;
colonial character;colonial;character;;;
colossal failure;colossal;failure;;;
comatose state;comatose;state;;;
combative tone;combative;tone;;;
comforting reassurance;comforting;reassurance;;;
comic infelicity;comic;infelicity;;;
commanding attitude;commanding;attitude;;;
commendable purpose;commendable;purpose;;;
commercial opulence;commercial;opulence;;;
commingled emotion;commingled;emotion;;;
commodiously arranged;commodiously;arranged;;;
common substratum;common;substratum;;;
commonplace allusions;commonplace;allusions;;;
compact fitness;compact;fitness;;;
comparative scantiness;comparative;scantiness;;;
compassionate love;compassionate;love;;;
compelling force;compelling;force;;;
compendious abstract;compendious;abstract;;;
compensatory character;compensatory;character;;;
competent authority;competent;authority;;;
competitive enterprise;competitive;enterprise;;;
complacent platitudes;complacent;platitudes;;;
complaining sea;complaining;sea;;;
complaisant observation;complaisant;observation;;;
complete aloofness;complete;aloofness;;;
complex notions;complex;notions;;;
complicated maze;complicated;maze;;;
complimentary glance;complimentary;glance;;;
component aspects;component;aspects;;;
composed zeal;composed;zeal;;;
composite growth;composite;growth;;;
compound idea;compound;idea;;;
comprehensive design;comprehensive;design;;;
compressed view;compressed;view;;;
compromising rashness;compromising;rashness;;;
compulsory repetition;compulsory;repetition;;;
compunctious visitings;compunctious;visitings;;feeling guilt;
concatenated pedantries;concatenated;pedantries;;;attention to detail or rules
concealed advantage;concealed;advantage;;;
conceivable comparison;conceivable;comparison;;;
concentrated vigor;concentrated;vigor;;;
concerted action;concerted;action;;;
conciliating air;conciliating;air;;;
concomitant events;concomitant;events;;;
concrete realities;concrete;realities;;;
concurrent testimony;concurrent;testimony;;;
condemnable rashness;condemnable;rashness;;;
condescending badinage;condescending;badinage;;;frivolous banter
conditional approval;conditional;approval;;;
confessed ardor;confessed;ardor;;;
confidently anticipated;confidently;anticipated;;;
confirmed misanthrope;confirmed;misanthrope;;;one who dislikes people in general
conflicting influences;conflicting;influences;;;
confused mingling;confused;mingling;;;
conjectural estimate;conjectural;estimate;;;
conjugal felicity;conjugal;felicity;;;
connected series;connected;series;;;
connotative damage;connotative;damage;;;
connubial love;connubial;love;;;
conquering intelligence;conquering;intelligence;;;
conscientious objection;conscientious;objection;;;
conscious repugnance;conscious;repugnance;;;
consecrated endeavor;consecrated;endeavor;;;
consequent retribution;consequent;retribution;;;
conservative distrust;conservative;distrust;;;
considerate hint;considerate;hint;;;
consistent friendliness;consistent;friendliness;;;
consoling consciousness;consoling;consciousness;;;
conspicuous ascendency;conspicuous;ascendency;;;
constant reiteration;constant;reiteration;;;
constitutional reserve;constitutional;reserve;;;
constrained politeness;constrained;politeness;;;
constructive idealists;constructive;idealists;;;
consuming zeal;consuming;zeal;;;
consummate mastery;consummate;mastery;;;
contagious wit;contagious;wit;;;
contaminating influence;contaminating;influence;;;
contemplative nature;contemplative;nature;;;
contemporary fame;contemporary;fame;;;
contemptuous disrespect;contemptuous;disrespect;;;
contented indolence;contented;indolence;;;
contingent reasons;contingent;reasons;;;
continuous endeavor;continuous;endeavor;;;
contorted expression;contorted;expression;;;
contracted view;contracted;view;;;
contradictory theories;contradictory;theories;;;
contrary tendencies;contrary;tendencies;;;
contrasted types;contrasted;types;;;
controversial disputant;controversial;disputant;;;
contumelious epithet;contumelious;epithet;;rudeness or contempt arising from arrogance;
convenient footing;convenient;footing;;;
conventional verbiage;conventional;verbiage;;;
conversational decorum;conversational;decorum;;;
convincing forcefulness;convincing;forcefulness;;;
convivial habits;convivial;habits;;;
convulsive agony;convulsive;agony;;;
cool confidence;cool;confidence;;;
copious materials;copious;materials;;;
coquettish advances;coquettish;advances;;;
cordial approval;cordial;approval;;;
corporate selfishness;corporate;selfishness;;;
corporeal constituent;corporeal;constituent;;;
correct forecast;correct;forecast;;;
corresponding variation;corresponding;variation;;;
corroborated truth;corroborated;truth;;;
corrosive effect;corrosive;effect;;;
corrupting tendency;corrupting;tendency;;;
cosmical changes;cosmical;changes;;;
cosmopolitan position;cosmopolitan;position;;;
costly advantages;costly;advantages;;;
counterbalancing power;counterbalancing;power;;;
countless barriers;countless;barriers;;;
courageous eagerness;courageous;eagerness;;;
courteous solicitude;courteous;solicitude;;;
courtly bearing;courtly;bearing;;;
covert curiosity;covert;curiosity;;;
coveted honors;coveted;honors;;;
cowardly concession;cowardly;concession;;;
cowering agitation;cowering;agitation;;;
coy reluctance;coy;reluctance;;;
crackling laughter;crackling;laughter;;;
crafty deception;crafty;deception;;;
craggy eminence;craggy;eminence;;;
cramped energies;cramped;energies;;;
crass stolidity;crass;stolidity;;;
craven determination;craven;determination;;;
creative faculty;creative;faculty;;;
credibly informed;credibly;informed;;;
creditable performance;creditable;performance;;;
credulous superstition;credulous;superstition;;;
creeping progress;creeping;progress;;;
criminal negligence;criminal;negligence;;;
cringing smile;cringing;smile;;;
crisp dialogue;crisp;dialogue;;;
critical judgment;critical;judgment;;;
crouching culprit;crouching;culprit;;;
crowning indiscretion;crowning;indiscretion;;;
crucial instance;crucial;instance;;;
crucifying irony;crucifying;irony;;;
crude affectation;crude;affectation;;;
cruel handicap;cruel;handicap;;;
crumbling precipice;crumbling;precipice;;;
crunching jangle;crunching;jangle;;;
crushing sorrow;crushing;sorrow;;;
cryptic saying;cryptic;saying;;;
crystalline sky;crystalline;sky;;;
crystallized conclusions;crystallized;conclusions;;;
culinary myrmidons;culinary;myrmidons;;myrmidon = one who carries out orders without question;
culminating fascination;culminating;fascination;;;
culpable behavior;culpable;behavior;;;
cultivated ferocity;cultivated;ferocity;;;
cultured idleness;cultured;idleness;;;
cumbrous fragments;cumbrous;fragments;;"cumbersome; difficult to handle or use";
cumulative tendency;cumulative;tendency;;;
cunningly contrived;cunningly;contrived;;;
curbed profligacy;curbed;profligacy;;;
curious coincidence;curious;coincidence;;;
current gossip;current;gossip;;;
curry favor;curry;favor;;;
cursed inactivity;cursed;inactivity;;;
cursory acquaintance;cursory;acquaintance;;;
curt formality;curt;formality;;;
curtained embrasure;curtained;embrasure;;;
cutting directness;cutting;directness;;;
cycloramic sweep;cycloramic;sweep;;;
cynical disregard;cynical;disregard;;;
damaging admission;damaging;admission;;;
damask cheek;damask;cheek;;"rich patterned fabric; wavy pattern on Damascus steel";
dampened ardor;dampened;ardor;;;
dancing sunshine;dancing;sunshine;;;
dangerous temerity;dangerous;temerity;;;
dappled shadows;dappled;shadows;;;
daring candor;daring;candor;;;
dark superstition;dark;superstition;;;
dashing gallantry;dashing;gallantry;;;
dastardly injustice;dastardly;injustice;;;
dauntless courage;dauntless;courage;;;
dawning instinct;dawning;instinct;;;
dazed brain;dazed;brain;;;
dazzling triumph;dazzling;triumph;;;
deadly virulence;deadly;virulence;;;
deaf tribunal;deaf;tribunal;;;
deathless structure;deathless;structure;;;
debasing tendency;debasing;tendency;;;
debatable point;debatable;point;;;
debilitating features;debilitating;features;;;
decadent poets;decadent;poets;;;
deceiving mists;deceiving;mists;;;
decided superiority;decided;superiority;;;
decisive manner;decisive;manner;;;
declamatory treatment;declamatory;treatment;;"pretentiously rhetorical; bombastic";
declared brotherhood;declared;brotherhood;;;
decorously adorned;decorously;adorned;;;
deepening dusk;deepening;dusk;;;
deep-seated curiosity;deep-seated;curiosity;;;
deep-toned lamentations;deep-toned;lamentations;;;
defective construction;defective;construction;;;
defenseless innocence;defenseless;innocence;;;
defensive alliance;defensive;alliance;;;
deferential regard;deferential;regard;;;
defiant coldness;defiant;coldness;;;
deficient vitality;deficient;vitality;;;
definite conception;definite;conception;;;
deformed visage;deformed;visage;;;
deft evasion;deft;evasion;;;
degrading tendencies;degrading;tendencies;;;
delectable speculations;delectable;speculations;;;
delegated power;delegated;power;;;
deliberate abnegation;deliberate;abnegation;;;self-denial
delicate discrimination;delicate;discrimination;;;
delicious vagueness;delicious;vagueness;;;
delightful variation;delightful;variation;;;
delirious ecstasies;delirious;ecstasies;;;
delusive charm;delusive;charm;;;
demagogic style;demagogic;style;;;
democratic institutions;democratic;institutions;;;
demoniacal force;demoniacal;force;;;
demonstrable conclusion;demonstrable;conclusion;;;
demoralizing luxury;demoralizing;luxury;;;
demure composure;demure;composure;;;
denunciatory terms;denunciatory;terms;;;
departed glories;departed;glories;;;
deplorable decay;deplorable;decay;;;
deprecatory shrug;deprecatory;shrug;;;
depressing concomitants;depressing;concomitants;;;
depthless forest;depthless;forest;;;
derisive voice;derisive;voice;;;
derogatory denial;derogatory;denial;;;
descriptive power;descriptive;power;;;
desecrated ideals;desecrated;ideals;;;
deserted desert;deserted;desert;;;
deserved approbation;deserved;approbation;;;"warm approval; praise"
desirable distinction;desirable;distinction;;;
desolating dread;desolating;dread;;;
despairing austerity;despairing;austerity;;;
desperate defiance;desperate;defiance;;;
despicable vices;despicable;vices;;;
despondent exaggeration;despondent;exaggeration;;;
despotic rulers;despotic;rulers;;;
destructive radicalism;destructive;radicalism;;;
desultory vacillation;desultory;vacillation;;"disconnected; haphazard; random";
detailed portraiture;detailed;portraiture;;;
detected hypocrisies;detected;hypocrisies;;;
determinate swing;determinate;swing;;;
detestable purpose;detestable;purpose;;;
dethroned princes;dethroned;princes;;;
detrimental result;detrimental;result;;;
devastating effect;devastating;effect;;;
devilish sophistries;devilish;sophistries;;;
deviously subtle;deviously;subtle;;;
devitalized personality;devitalized;personality;;;
devoted attachment;devoted;attachment;;;
devouring ambition;devouring;ambition;;;
devout thanksgiving;devout;thanksgiving;;;
dewy coolness;dewy;coolness;;;
dexterous impudence;dexterous;impudence;;;
diabolical passion;diabolical;passion;;;
dialectic power;dialectic;power;;;
diametrically opposite;diametrically;opposite;;;
dictatorial manner;dictatorial;manner;;;
dictionary significance;dictionary;significance;;;
didactic exposition;didactic;exposition;;intended to be morally instructive;
different distortion;different;distortion;;;
difficult portraiture;difficult;portraiture;;;
diffident civility;diffident;civility;;"lacking self-confidence; shy; timid";
diffuse verbosity;diffuse;verbosity;;;
dignified austerity;dignified;austerity;;;
digressional adventure;digressional;adventure;;;
dilettante mind;dilettante;mind;;dabbler in a field of knowledge;
diligently propagated;diligently;propagated;;;
dim comprehension;dim;comprehension;;;
diminished efficacy;diminished;efficacy;;;
diminutive stature;diminutive;stature;;;
diplomatic skill;diplomatic;skill;;;
dire consummation;dire;consummation;;;
direct obligation;direct;obligation;;;
disappointing attitude;disappointing;attitude;;;
disarmed criticism;disarmed;criticism;;;
disastrous termination;disastrous;termination;;;
discarded reminiscences;discarded;reminiscences;;;
discerning critic;discerning;critic;;;
disciplined mind;disciplined;mind;;;
disclosed insincerity;disclosed;insincerity;;;
discomfited opponent;discomfited;opponent;;;
disconcerted conjecture;disconcerted;conjecture;;;
disconnected fancies;disconnected;fancies;;;
disconsolate opinions;disconsolate;opinions;;;
discordant sounds;discordant;sounds;;;
discredited statement;discredited;statement;;;
discretional opinion;discretional;opinion;;;
discriminating homage;discriminating;homage;;;
discursive staggerings;discursive;staggerings;;;
disdainful comment;disdainful;comment;;;
diseased hallucinations;diseased;hallucinations;;;
disembodied personality;disembodied;personality;;;
disengaged air;disengaged;air;;;
disfiguring disguise;disfiguring;disguise;;;
disgraceful plight;disgraceful;plight;;;
disgruntled pessimist;disgruntled;pessimist;;;
disguised contempt;disguised;contempt;;;
disgusted protest;disgusted;protest;;;
disheartening facts;disheartening;facts;;;
dishonorable submission;dishonorable;submission;;;
disillusioned youth;disillusioned;youth;;;
disintegrating tendency;disintegrating;tendency;;;
disinterested motive;disinterested;motive;;;
disjoined reminiscences;disjoined;reminiscences;;;
dismal seclusion;dismal;seclusion;;;
dismantled appearance;dismantled;appearance;;;
disordered imagination;disordered;imagination;;;
disparaging criticism;disparaging;criticism;;;
dispassionate judgment;dispassionate;judgment;;;
dispelling fear;dispelling;fear;;;
displeasing softness;displeasing;softness;;;
disproportionate ideas;disproportionate;ideas;;;
disputative philosopher;disputative;philosopher;;;
disquieting thrill;disquieting;thrill;;;
disreputable aspect;disreputable;aspect;;;
dissenting opinion;dissenting;opinion;;;
dissimilar laws;dissimilar;laws;;;
dissipated illusion;dissipated;illusion;;;
dissolute audacity;dissolute;audacity;;;
dissolving years;dissolving;years;;;
dissonant jargon;dissonant;jargon;;;
distant adherent;distant;adherent;;;
distasteful notion;distasteful;notion;;;
distempered feeling;distempered;feeling;;;
distinct desideratum;distinct;desideratum;;;
distorted vanity;distorted;vanity;;;
